case_id,solver,formulation,cold_median_seconds,setup_median_seconds,warm_reuse_median_seconds,cold_over_warm_reuse_speedup
X33,EIDORS,classic,0.00129415,0.0010150062499999998,0.00012746874999999998,10.152684481490564
X33,EIDORS,robin_transconductance,0.0013887687500000001,0.00123385625,0.0001594625,8.709061691620287
X34,PyEIDORS/DOLFINx,classic,0.0016410239968536189,0.0014614195060858037,0.00015312643699871842,10.716790836499078
X34,PyEIDORS/DOLFINx,robin_transconductance,0.0012181963138573337,0.0011511742522998247,2.1493371605174616e-05,56.67776727798481
X34,NGSolve,classic,0.0021775766890641535,0.0018694924383453326,0.0002809512479871046,7.750727945383971
X34,NGSolve,robin_transconductance,0.0016477600620419253,0.0013206532512413105,2.7528249120223336e-05,59.85706010017963
X34,EIDORS,classic,0.00110621875,0.0008662,0.0001501625,7.366810954798968
X34,EIDORS,robin_transconductance,0.0013117124999999998,0.00114975625,0.00011960625000000002,10.96692271515911
X35,PyEIDORS/DOLFINx,classic,0.0016423581237177132,0.001448023998818826,0.00022023818382876925,7.457190643174816
X35,PyEIDORS/DOLFINx,robin_transconductance,0.0011983943768427707,0.0011517683105921606,2.8669503080891445e-05,41.80031908685276
X35,NGSolve,classic,0.0022553013732249383,0.0018789731875585858,0.00027959349790762644,8.066358445753472
X35,NGSolve,robin_transconductance,0.0013982209293317283,0.0012825813118979568,2.701287121453788e-05,51.76128513799854
X35,EIDORS,classic,0.0011319062499999999,0.000883125,0.00012955,8.73721536086453
X35,EIDORS,robin_transconductance,0.00135965,0.00123623125,0.000129125,10.5297192642788
X36,PyEIDORS/DOLFINx,classic,0.0015949444969010074,0.0014147637502901489,0.00021657618890458252,7.3643575730464805
X36,PyEIDORS/DOLFINx,robin_transconductance,0.001149402434748481,0.0011094607507402543,2.994874921569135e-05,38.378979585106116
X36,NGSolve,classic,0.0022497837471746607,0.0019432927529123845,0.00028660300085903145,7.849826207092784
X36,NGSolve,robin_transconductance,0.001622469872017973,0.0013151713155821199,2.8741125788656063e-05,56.45115935779911
X36,EIDORS,classic,0.0012904375000000001,0.00102305625,0.0002029875,6.357226430198905
X36,EIDORS,robin_transconductance,0.0017269624999999998,0.00153905,0.00016316874999999998,10.583904699888919
X37,PyEIDORS/DOLFINx,classic,0.0016354369381588185,0.0014457301294896752,0.00022377637651516125,7.308353829064771
X37,PyEIDORS/DOLFINx,robin_transconductance,0.0012055835613864474,0.001151345066318754,2.6988496756530367e-05,44.670274608560185
X37,NGSolve,classic,0.00210142337527941,0.0018002959368459415,0.0002837962565536145,7.404690254899155
X37,NGSolve,robin_transconductance,0.0013991465002618497,0.0012723333056783304,2.8204687623656355e-05,49.606878081086485
X37,EIDORS,classic,0.00114615,0.0008892625,0.00015075625,7.602669872725012
X37,EIDORS,robin_transconductance,0.0017141687500000001,0.0015212000000000001,0.00013743125,12.472918277320478
X38,PyEIDORS/DOLFINx,classic,0.0016392768739024177,0.0014550536252500024,0.00021760006347903982,7.533439318414169
X38,PyEIDORS/DOLFINx,robin_transconductance,0.0011333243128319737,0.001094532934075687,2.6597750547807664e-05,42.6097805073741
X38,NGSolve,classic,0.00217932199666393,0.0018643851290107705,0.00028099612427467946,7.755701265593251
